COMID,Row,Col,BaseElev,DEM_Elev,QMax,depth_a,depth_b,tw_a,tw_b,vel_a,vel_b
441090206,19,2,1272.43,1275.5,860.064,0.237,0.528,4.014,0.453,1.378,0.088
441090206,20,3,1272.64,1275.5,841.407,0.455,0.375,4.667,0.375,0.941,0.25
441090206,21,4,1272.94,1275.5,841.802,0.419,0.375,4.297,0.375,1.11,0.25
441090206,21,5,1273.4,1275.5,844.561,0.364,0.375,4.176,0.375,1.315,0.25
441090206,22,6,1274.99,1276.0,845.797,0.53,0.328,1.717,0.646,0.474,0.327
441090206,22,7,1273.6,1276.0,843.673,0.39,0.375,4.663,0.375,1.1,0.25
441090206,23,8,1273.36,1276.0,842.547,0.42,0.375,4.836,0.375,0.985,0.25
441090206,24,9,1273.31,1276.0,841.093,0.169,0.565,0.216,0.99,1.726,0.063
441090206,24,10,1273.42,1276.0,844.636,0.409,0.375,4.894,0.375,0.999,0.25
441090206,25,11,1274.0,1276.5,842.079,0.385,0.375,5.149,0.375,1.01,0.25
441090206,26,12,1275.05,1276.5,846.556,0.066,0.553,22.562,0.169,0.645,0.324
441090206,27,13,1275.28,1276.5,847.584,0.226,0.375,3.013,0.375,2.939,0.25
441090206,28,14,1275.79,1277.0,846.031,0.708,0.295,2.892,0.586,0.439,0.314
441090206,28,15,1274.54,1277.0,845.285,0.376,0.375,5.244,0.375,1.014,0.25
441090206,29,16,1274.36,1277.0,840.992,0.459,0.375,4.185,0.375,1.042,0.25
441090206,30,17,1274.38,1277.0,841.883,0.462,0.375,3.969,0.375,1.092,0.25
441090206,30,18,1274.87,1277.5,842.741,0.175,0.552,0.083,1.1,1.716,0.094
441090206,31,19,1274.82,1277.5,842.664,0.452,0.375,4.259,0.375,1.039,0.25
441090206,32,20,1274.86,1277.5,841.853,0.413,0.377,4.276,0.389,1.06,0.247
441090206,32,21,1275.06,1277.5,840.717,0.418,0.375,4.102,0.375,1.167,0.25
441090206,32,22,1275.6,1278.0,841.967,0.399,0.375,4.307,0.375,1.163,0.25
441090206,33,23,1275.77,1278.0,843.376,0.379,0.375,4.098,0.375,1.288,0.25
441090206,34,25,1276.86,1278.0,841.953,0.051,0.564,22.377,0.14,0.851,0.335
441090206,34,26,1276.17,1278.0,841.821,0.339,0.375,3.613,0.375,1.632,0.25
441090206,33,24,1276.25,1278.0,843.788,0.271,0.375,3.22,0.375,2.292,0.25
441090206,34,25,1276.76,1278.0,843.804,0.055,0.562,22.009,0.145,0.798,0.333
441090206,34,26,1276.07,1278.0,841.115,0.352,0.375,3.659,0.375,1.553,0.25
441090206,35,27,1277.37,1278.5,841.284,0.051,0.562,21.955,0.146,0.869,0.333
441090206,35,27,1277.07,1278.5,844.169,0.065,0.556,20.774,0.162,0.719,0.327
441090206,35,28,1276.17,1278.5,845.286,0.391,0.375,4.045,0.375,1.266,0.25
441090206,35,29,1276.22,1278.5,843.347,0.384,0.375,4.031,0.375,1.293,0.25
441090206,34,30,1280.42,1281.57,849.677,0.001,1.089,20.428,0.227,0.746,0.355
441090206,36,31,1276.92,1278.5,840.736,0.072,0.552,20.061,0.173,0.669,0.323
441090206,36,32,1276.27,1279.0,841.426,0.43,0.375,4.339,0.375,1.071,0.25
441090206,36,33,1276.1,1279.0,842.085,0.451,0.375,4.379,0.375,1.012,0.25
441090206,36,34,1276.02,1279.0,842.179,0.461,0.375,4.395,0.375,0.988,0.25
441090206,36,35,1276.01,1279.0,843.619,0.461,0.375,4.402,0.375,0.985,0.25
441090206,36,36,1276.49,1279.5,845.584,0.423,0.396,0.414,0.839,1.15,0.201
441090206,36,37,1276.2,1279.5,847.263,0.558,0.372,2.445,0.608,1.046,0.184
441090206,36,38,1275.95,1279.5,843.684,0.514,0.375,4.789,0.375,0.813,0.25
441090206,36,39,1275.75,1279.5,847.752,0.714,0.358,1.737,0.71,0.938,0.164
