COMID,Row,Col,Elev,QBaseflow,q_1,v_1,t_1,wse_1,q_2,v_2,t_2,wse_2,q_3,v_3,t_3,wse_3,q_4,v_4,t_4,wse_4,q_5,v_5,t_5,wse_5,q_6,v_6,t_6,wse_6,q_7,v_7,t_7,wse_7,q_8,v_8,t_8,wse_8,q_9,v_9,t_9,wse_9,q_10,v_10,t_10,wse_10,q_11,v_11,t_11,wse_11,q_12,v_12,t_12,wse_12,q_13,v_13,t_13,wse_13,q_14,v_14,t_14,wse_14,q_15,v_15,t_15,wse_15
441090206,19,2,1275.5,360.792,7.285,0.957,21.582,1276.205,46.254,1.519,43.164,1276.911,60.905,0.95,50.514,1277.616,128.672,1.266,55.708,1278.321,222.638,1.56,60.902,1279.027,344.722,1.838,66.096,1279.732,333.049,1.408,77.745,1280.437,529.141,1.755,105.453,1281.143,774.649,2.039,116.722,1281.848,1085.498,2.328,127.99,1282.553,1469.809,2.623,139.258,1283.259,1948.213,2.922,162.864,1283.964,2569.433,3.233,210.54,1284.669,3450.437,3.616,241.55,1285.375,5026.199,3.993,528.376,1286.08
441090206,20,3,1275.5,360.792,3.107,0.974,10.706,1276.096,19.727,1.546,21.412,1276.692,58.161,2.026,32.118,1277.288,125.258,2.454,42.824,1277.884,227.107,2.847,53.53,1278.48,369.301,3.215,64.236,1279.076,226.95,1.255,151.823,1279.672,442.953,1.571,179.322,1280.268,729.965,1.858,193.038,1280.864,1228.348,2.399,206.077,1281.46,1765.003,2.77,214.109,1282.056,2399.966,3.128,222.141,1282.652,3136.434,3.477,230.173,1283.248,3977.962,3.819,238.205,1283.844,5008.179,4.16,280.865,1284.44
441090206,21,4,1275.5,360.792,3.02,1.154,9.472,1276.053,19.173,1.831,18.944,1276.605,56.528,2.4,28.415,1277.158,121.74,2.907,37.887,1277.711,220.73,3.373,47.359,1278.263,358.931,3.809,56.831,1278.816,126.181,0.965,128.626,1279.369,339.499,1.474,207.302,1279.921,685.013,1.946,233.245,1280.474,1277.371,2.48,289.019,1281.027,2015.674,2.972,301.393,1281.579,1958.92,2.309,317.131,1282.132,2376.914,2.308,339.573,1282.685,3822.077,3.09,391.636,1283.237,5012.401,3.441,403.435,1283.79
441090206,21,5,1275.5,360.792,3.225,1.415,8.977,1276.008,20.479,2.245,17.953,1276.516,60.38,2.942,26.93,1277.024,130.035,3.564,35.906,1277.532,235.769,4.136,44.883,1278.04,383.387,4.671,53.859,1278.548,578.311,5.176,62.836,1279.056,206.274,1.281,171.521,1279.564,343.5,1.292,231.704,1280.072,726.437,1.841,271.146,1280.58,1313.9,2.325,324.414,1281.088,2022.391,2.761,334.609,1281.596,2874.088,3.176,344.804,1282.104,3870.8,3.575,354.999,1282.612,5015.308,3.962,365.194,1283.12
441090206,22,6,1276.0,360.792,0.942,0.612,8.151,1276.378,5.984,0.971,16.302,1276.756,17.642,1.272,24.453,1277.134,37.993,1.541,32.604,1277.512,68.886,1.789,40.755,1277.89,112.017,2.02,48.906,1278.268,168.969,2.238,57.057,1278.646,241.242,2.447,65.208,1279.024,345.012,2.715,114.667,1279.402,627.144,3.149,222.487,1279.78,1100.931,3.846,238.103,1280.158,1691.685,4.461,253.72,1280.536,2736.609,5.725,269.321,1280.914,3787.91,6.506,281.715,1281.292,5023.153,7.269,294.108,1281.67
441090206,22,7,1276.0,360.792,3.914,1.213,11.446,1276.564,24.852,1.925,22.892,1277.128,73.271,2.522,34.339,1277.692,157.798,3.055,45.785,1278.256,286.107,3.546,57.231,1278.82,173.093,1.485,89.737,1279.384,279.151,1.457,166.867,1279.948,301.066,0.962,235.101,1280.512,618.846,1.366,259.661,1281.076,998.446,1.653,276.243,1281.64,1476.406,1.931,292.826,1282.204,2059.507,2.204,309.408,1282.768,2829.568,2.494,374.718,1283.332,3789.081,2.799,402.466,1283.896,5012.978,3.117,485.985,1284.46
441090206,23,8,1276.0,360.792,2.704,0.981,10.583,1276.521,17.166,1.558,21.166,1277.041,50.612,2.041,31.749,1277.562,108.999,2.473,42.332,1278.083,197.628,2.869,52.915,1278.603,321.365,3.24,63.498,1279.124,244.917,1.779,96.046,1279.645,245.975,1.214,149.434,1280.165,498.334,1.645,217.599,1280.686,859.171,2.041,235.974,1281.207,1330.642,2.426,254.35,1281.727,1922.791,2.804,272.725,1282.248,2715.545,3.19,342.863,1282.769,3758.824,3.62,372.829,1283.289,5019.222,4.051,397.417,1283.81
441090206,24,9,1276.0,360.792,4.323,0.975,17.125,1276.518,27.452,1.547,34.249,1277.036,34.353,0.861,51.058,1277.554,75.548,1.081,64.603,1278.072,136.116,1.274,78.148,1278.59,218.58,1.449,91.693,1279.108,255.628,1.263,109.656,1279.626,345.538,1.296,139.113,1280.144,546.866,1.578,169.216,1280.662,955.405,2.162,198.623,1281.18,1376.482,2.492,227.622,1281.698,1922.128,2.836,260.718,1282.216,2657.388,3.193,344.899,1282.734,3706.297,3.629,382.769,1283.252,5000.423,4.077,409.51,1283.77
441090206,24,10,1276.0,360.792,3.056,1.024,11.261,1276.53,19.406,1.626,22.521,1277.06,57.215,2.13,33.782,1277.59,123.22,2.581,45.042,1278.12,223.412,2.995,56.303,1278.65,167.324,1.557,70.14,1279.18,224.227,1.393,120.772,1279.71,359.398,1.536,154.488,1280.24,556.991,1.718,185.149,1280.77,819.114,1.911,208.417,1281.3,1371.717,2.516,234.72,1281.83,1976.115,2.895,277.417,1282.36,2752.844,3.297,297.674,1282.89,3690.4,3.697,317.969,1283.42,5025.33,4.135,410.653,1283.95
441090206,25,11,1276.5,360.792,3.537,1.055,13.041,1277.014,22.46,1.675,26.082,1277.528,66.22,2.195,39.123,1278.042,142.614,2.66,52.164,1278.556,258.576,3.086,65.205,1279.07,139.527,1.145,86.991,1279.584,208.65,1.199,115.953,1280.098,393.355,1.639,137.484,1280.612,605.991,1.88,192.641,1281.126,960.719,2.255,210.932,1281.64,1416.653,2.627,229.223,1282.154,1989.485,2.997,260.243,1282.668,2733.917,3.389,292.942,1283.182,3680.622,3.787,354.897,1283.696,5011.717,4.249,422.005,1284.21
441090206,26,12,1276.5,360.792,4.783,1.281,13.717,1277.045,30.373,2.033,27.433,1277.589,89.55,2.664,41.15,1278.134,192.857,3.227,54.867,1278.679,373.32,3.984,71.231,1279.223,176.708,1.282,90.662,1279.768,279.472,1.453,109.517,1280.313,351.477,1.365,129.87,1280.857,489.275,1.466,150.457,1281.402,753.989,1.786,175.801,1281.947,1034.592,1.968,204.238,1282.491,1383.57,2.151,227.154,1283.036,2586.191,3.327,298.614,1283.581,3604.314,3.782,344.347,1284.125,5005.045,4.276,428.34,1284.67
